PERF: core5: instrs=14308, cycles=175480, IPC=0.081536
PERF: core6: instrs=14308, cycles=172816, IPC=0.082793
PERF: core7: instrs=14308, cycles=173556, IPC=0.082440
PERF: core8: instrs=14308, cycles=174182, IPC=0.082144
PERF: core9: instrs=14311, cycles=173848, IPC=0.082319
PERF: core10: instrs=14308, cycles=176158, IPC=0.081223
PERF: core11: instrs=14308, cycles=176598, IPC=0.081020
PERF: core12: instrs=14308, cycles=174572, IPC=0.081960
PERF: core13: instrs=14311, cycles=170559, IPC=0.083906
PERF: core14: instrs=14308, cycles=173873, IPC=0.082290
PERF: core15: instrs=14308, cycles=174253, IPC=0.082110
PERF: instrs=275443, cycles=478745, IPC=0.575344
PERF: core0: instrs=64571, cycles=502398, IPC=0.128526
PERF: core1: instrs=14311, cycles=170417, IPC=0.083976
PERF: core2: instrs=14308, cycles=174198, IPC=0.082136
PERF: core3: instrs=14308, cycles=174912, IPC=0.081801
PERF: core4: instrs=14311, cycles=170178, IPC=0.084094
PERF: core5: instrs=14308, cycles=175483, IPC=0.081535
PERF: core6: instrs=14308, cycles=172819, IPC=0.082792
PERF: core7: instrs=14308, cycles=173559, IPC=0.082439
PERF: core8: instrs=14308, cycles=174185, IPC=0.082143
PERF: core9: instrs=14311, cycles=173851, IPC=0.082318
PERF: core10: instrs=14308, cycles=176161, IPC=0.081221
PERF: core11: instrs=14308, cycles=176601, IPC=0.081019
PERF: core12: instrs=14308, cycles=174575, IPC=0.081959
PERF: core13: instrs=14311, cycles=170562, IPC=0.083905
PERF: core14: instrs=14308, cycles=173876, IPC=0.082289
PERF: core15: instrs=14308, cycles=174256, IPC=0.082109
PERF: instrs=279203, cycles=502398, IPC=0.555741
PERF: core0: instrs=60584, cycles=322841, IPC=0.187659
PERF: core1: instrs=14342, cycles=171162, IPC=0.083792
PERF: core2: instrs=14339, cycles=173982, IPC=0.082417
PERF: core3: instrs=14339, cycles=175186, IPC=0.081850
PERF: core4: instrs=14342, cycles=171663, IPC=0.083547
PERF: core5: instrs=14339, cycles=173565, IPC=0.082615
PERF: core6: instrs=14339, cycles=175065, IPC=0.081907
PERF: core7: instrs=14339, cycles=172457, IPC=0.083145
PERF: core8: instrs=14339, cycles=176694, IPC=0.081152
PERF: core9: instrs=14342, cycles=176066, IPC=0.081458
PERF: core10: instrs=14342, cycles=176067, IPC=0.081458
PERF: core11: instrs=14342, cycles=176071, IPC=0.081456
PERF: core12: instrs=14339, cycles=175170, IPC=0.081858
PERF: core13: instrs=14342, cycles=171128, IPC=0.083809
PERF: core14: instrs=14339, cycles=174842, IPC=0.082011
PERF: core15: instrs=14339, cycles=173958, IPC=0.082428
PERF: instrs=275687, cycles=322841, IPC=0.853940
PERF: core0: instrs=38395, cycles=320612, IPC=0.119755
PERF: core1: instrs=38617, cycles=320624, IPC=0.120443
PERF: core2: instrs=14342, cycles=174439, IPC=0.082218
PERF: core3: instrs=14339, cycles=175325, IPC=0.081785
PERF: core4: instrs=14342, cycles=171594, IPC=0.083581
PERF: core5: instrs=14339, cycles=173499, IPC=0.082646
PERF: core6: instrs=14339, cycles=174871, IPC=0.081998
PERF: core7: instrs=14339, cycles=172378, IPC=0.083183
PERF: core8: instrs=14339, cycles=176914, IPC=0.081051
PERF: core9: instrs=14339, cycles=176576, IPC=0.081206
PERF: core10: instrs=14342, cycles=176528, IPC=0.081245
PERF: core11: instrs=14339, cycles=176553, IPC=0.081216
PERF: core12: instrs=14339, cycles=175297, IPC=0.081798
PERF: core13: instrs=14342, cycles=171050, IPC=0.083847
PERF: core14: instrs=14339, cycles=174791, IPC=0.082035
PERF: core15: instrs=14339, cycles=174090, IPC=0.082365
PERF: instrs=277770, cycles=320624, IPC=0.866342
PERF: core0: instrs=42100, cycles=366094, IPC=0.114998
PERF: core1: instrs=42382, cycles=366703, IPC=0.115576
PERF: core2: instrs=14342, cycles=174424, IPC=0.082225
PERF: core3: instrs=14339, cycles=175370, IPC=0.081764
PERF: core4: instrs=14342, cycles=171577, IPC=0.083589
PERF: core5: instrs=14339, cycles=173482, IPC=0.082654
PERF: core6: instrs=14339, cycles=174854, IPC=0.082006
PERF: core7: instrs=14339, cycles=172361, IPC=0.083192
PERF: core8: instrs=14339, cycles=176805, IPC=0.081101
PERF: core9: instrs=14339, cycles=176460, IPC=0.081259
PERF: core10: instrs=14339, cycles=176434, IPC=0.081271
PERF: core11: instrs=14342, cycles=176411, IPC=0.081299
PERF: core12: instrs=14339, cycles=175344, IPC=0.081776
PERF: core13: instrs=14342, cycles=171033, IPC=0.083855
