PERF: instrs=2847502, cycles=9295527, IPC=0.306330
PERF: core0: instrs=96491, cycles=629378, IPC=0.153312
PERF: core1: instrs=52641, cycles=434620, IPC=0.121120
PERF: core2: instrs=52641, cycles=434621, IPC=0.121119
PERF: core3: instrs=52641, cycles=434806, IPC=0.121068
PERF: instrs=254414, cycles=629378, IPC=0.404231
PERF: core0: instrs=748297, cycles=9308079, IPC=0.080392
PERF: core1: instrs=728910, cycles=9275819, IPC=0.078582
PERF: core2: instrs=728910, cycles=9269011, IPC=0.078639
PERF: core3: instrs=632942, cycles=9131354, IPC=0.069315
PERF: instrs=2839059, cycles=9308079, IPC=0.305010
PERF: core0: instrs=96468, cycles=639345, IPC=0.150886
PERF: core1: instrs=52641, cycles=444027, IPC=0.118554
PERF: core2: instrs=52641, cycles=444271, IPC=0.118488
PERF: core3: instrs=52641, cycles=444299, IPC=0.118481
PERF: instrs=254391, cycles=639345, IPC=0.397893
PERF: core0: instrs=747320, cycles=9285961, IPC=0.080478
PERF: core1: instrs=727950, cycles=9256948, IPC=0.078638
PERF: core2: instrs=727950, cycles=9217471, IPC=0.078975
PERF: core3: instrs=632492, cycles=9027666, IPC=0.070062
PERF: instrs=2835712, cycles=9285961, IPC=0.305376
PERF: core0: instrs=96445, cycles=636000, IPC=0.151643
PERF: core1: instrs=52641, cycles=441046, IPC=0.119355
PERF: core2: instrs=52641, cycles=441044, IPC=0.119355
PERF: core3: instrs=52641, cycles=441292, IPC=0.119288
PERF: instrs=254368, cycles=636000, IPC=0.399950
PERF: core0: instrs=746343, cycles=9277536, IPC=0.080446
PERF: core1: instrs=726990, cycles=9204665, IPC=0.078981
PERF: core2: instrs=726990, cycles=9238197, IPC=0.078694
PERF: core3: instrs=627028, cycles=9031632, IPC=0.069426
PERF: instrs=2827351, cycles=9277536, IPC=0.304752
PERF: core0: instrs=96422, cycles=637278, IPC=0.151303
PERF: core1: instrs=52641, cycles=441308, IPC=0.119284
PERF: core2: instrs=52641, cycles=441135, IPC=0.119331
PERF: core3: instrs=52641, cycles=441332, IPC=0.119278
PERF: instrs=254345, cycles=637278, IPC=0.399112
PERF: core0: instrs=745366, cycles=9286878, IPC=0.080260
PERF: core1: instrs=726030, cycles=9258852, IPC=0.078415
PERF: core2: instrs=726030, cycles=9226796, IPC=0.078687
PERF: core3: instrs=626600, cycles=9086729, IPC=0.068958
PERF: instrs=2824026, cycles=9286878, IPC=0.304088
PERF: core0: instrs=96399, cycles=629803, IPC=0.153062
PERF: core1: instrs=52641, cycles=437023, IPC=0.120454
PERF: core2: instrs=52641, cycles=437215, IPC=0.120401
PERF: core3: instrs=52641, cycles=437237, IPC=0.120395
PERF: instrs=254322, cycles=629803, IPC=0.403812
PERF: core0: instrs=744389, cycles=9230531, IPC=0.080644
PERF: core1: instrs=725068, cycles=9161892, IPC=0.079140
PERF: core2: instrs=725070, cycles=9182286, IPC=0.078964
PERF: core3: instrs=621218, cycles=8906231, IPC=0.069751
PERF: instrs=2815745, cycles=9230531, IPC=0.305047
PERF: core0: instrs=96376, cycles=621468, IPC=0.155078
PERF: core1: instrs=52641, cycles=428174, IPC=0.122943
PERF: core2: instrs=52641, cycles=427967, IPC=0.123002
PERF: core3: instrs=52641, cycles=427968, IPC=0.123002
PERF: instrs=254299, cycles=621468, IPC=0.409191
PERF: core0: instrs=743412, cycles=9274549, IPC=0.080156
PERF: core1: instrs=724108, cycles=9206269, IPC=0.078654
PERF: core2: instrs=724110, cycles=9237369, IPC=0.078389
PERF: core3: instrs=620812, cycles=9017367, IPC=0.068846
PERF: instrs=2812442, cycles=9274549, IPC=0.303243
PERF: core0: instrs=96353, cycles=628424, IPC=0.153325
PERF: core1: instrs=52641, cycles=432309, IPC=0.121767
PERF: core2: instrs=52641, cycles=432125, IPC=0.121819
PERF: core3: instrs=52641, cycles=432126, IPC=0.121819
PERF: instrs=254276, cycles=628424, IPC=0.404625
PERF: core0: instrs=742435, cycles=9300176, IPC=0.079830
PERF: core1: instrs=723150, cycles=9264547, IPC=0.078056
PERF: core2: instrs=723150, cycles=9252335, IPC=0.078159
